submission,placeholder,expected_results
עיקר קדושא בלילה הוא,placeholder,﻿עִיקָר קִדוּשָׁא בְּלַיְלָה הוּא
קדיש   דכי קדיש ,placeholder,קָדִישׁ   דְכִי קָדִישׁ 
תחלת יומא בעי לקידושי,placeholder,תְּחִלַת יוֹמָא בָּעִי לְקִידוּשִׁי
 הכי קאמר  זכור את,placeholder, הָכִי קָאָמַר  זָכוֹר אֶת
יום השבת לקדשו   ,placeholder,יוֹם הַשַׁבָּת לְקַדְשׁוֹ   
זוכרהו על היין,placeholder,זוֹכְרֵהוּ עַל הַיַיִן
בכניסתו      ,placeholder,בְּכְּנִיסָתוֹ      
ורבי שמעון נמי,placeholder,וְרַבִּי שִׁמְעוֹן נַמִי
הכתיב  מיין ושכר,placeholder,הָכְּתִיב  מִיַיִן וְשֵׁכָר
יזיר    ,placeholder,יַזִיר    
ההוא מיבעי ליה  לאסור,placeholder,הַהוּא מִיבָּעִי לֵיה  לֶאֱסוֹר
יין מצוה כיין הרשות,placeholder,יַיִן מִצְוָה כְּיַיִן הָרְשׁוּת
 מאי היא   קדושתא,placeholder, מַאי הִיא   קִדוּשְׁתָּא
ואבדלתא הרי מושבע,placeholder,וְאַבְדַלְתָּא הַרֵי מוּשְׁבַּע
ועומד עליו מהר סיני ,placeholder,וְעוֹמֵד עָלָיו מֵהַר סִינַי 
  אלא כי הא דאמר רבא ,placeholder,  אֶלָא כִּי הָא דְאָמַר רָבָא 
שבועה שאשתה   ,placeholder,שְׁבוּעָה שֶׁאֶשְׁתֶּה   
וחזר ואמר הריני נזיר ,placeholder,וְחָזַר וְאָמַר הַרֵינִי נָזִיר 
  אתיא נזירות חיילא,placeholder,  אַתְיָא נְזִירוּת חַיְילָא
על שבועה    ,placeholder,עַל שְׁבוּעָה    
  וקשה  דאדרבה ,placeholder,  וְקָשֶׁה  דְאַדְרַבָּה 
 להכי איצטריך קרא,placeholder, לְהָכִי אִיצְטְרִיךְ קְרָא
מיותר  לומר דחייל,placeholder,מְיוּתָּר  לוֹמַר דְחַיְיל
עליה נזירות   ,placeholder,עַלֵיה נְזִירוּת   
ועוד קשה  מאי משני,placeholder,וְעוֹד קָשֶׁה  מַאי מְשַׁנִי
בתר הכי כגון,placeholder,בָּתָר הָכִי כְּגוֹן
שנשבע לשתות וחזר,placeholder,שֶׁנִשְׁבַּע לִשְׁתּוֹת וְחָזַר
ונדר בנזיר,placeholder,וְנָדַר בְּנָזִיר
דאתיא נזירות וחייל,placeholder,דְאַתְיָא נְזִירוּת וְחַיְיל
אשבועה   מכל מקום,placeholder,אַשְׁבוּעָה   מִכָּל מָקוֹם
תקשי לו הרי מושבע,placeholder,תִּקְשִׁי לוֹ הַרֵי מוּשְׁבַּע
ועומד מהר סיני  ,placeholder,וְעוֹמֵד מֵהַר סִינַי  
כלומר דאין מושבע ועומד,placeholder,כְּלוֹמַר דְאֵין מוּשְׁבַּע וְעוֹמֵד
גדול מזה    שנשבע,placeholder,גָדוֹל מִזֶה    שֶׁנִשְׁבַּע
לשתות ועוד קשה ,placeholder,לִשְׁתּוֹת וְעוֹד קָשֶׁה 
דקדוש היום לאו דאורייתא,placeholder,דְקִדוּשׁ הַיוֹם לַאו דְאוֹרַיְיתָא
הוא    דנהי נמי,placeholder,הוּא    דְנְהִי נַמִי
דכתיב זכור  ,placeholder,דִכְתִיב זָכוֹר  
ודרשינן זוכרהו על,placeholder,וְדַרְשִׁינָן זוֹכְרֵהוּ עַל
היין    אסמכתא,placeholder,הַיַיִן    אַסְמַכְתָּא
הוא    לכן נראה,placeholder,הוּא    לָכֵן נִרְאֶה
לרבינו תם  דגרסינן,placeholder,לְרַבֵּינוּ תַּם  דְגַרְסִינָן
בתמיה  וכי,placeholder,בִּתְמִיהָ  וְכִי
מושבע ועומד מהר סיני ,placeholder,מוּשְׁבַּע וְעוֹמֵד מֵהַר סִינַי 
 כלומר למה לי קרא,placeholder, כְּלוֹמַר לָמָה לִי קְרָא
