submission,placeholder,expected_results
סבתא פחדה מן המוות היא אמנם לא הודתה בכך - ואף,placeholder,﻿סָבְתָא פָּחֲדָה מִן הַמָּוֶת הִיא אָמְנָם לֹא הוֹדְתָה בְּכָךְ - וְאַף
היתה אומרת בצניעות שיש עמה יותר מקורטוב של,placeholder,הָיְתָה אוֹמֶרֶת בִּצְנִיעוּת שֶׁיֵּשׁ עִמָּהּ יוֹתֵר מִקֻּרְטוֹב שֶׁל
התנשאות כי היא מפחדת רק מפני משפט האלוהים,placeholder,הִתְנַשְּׂאוּת כִּי הִיא מְפַחֶדֶת רַק מִפְּנֵי מִשְׁפַּט הָאֱלֹהִים
כשתעמוד לפניו בבוא יום-הדין - אבל אני גיליתי,placeholder,כְּשֶׁתַּעֲמֹד לְפָנָיו בְּבוֹא יוֹם-הַדִּין - אֲבָל אֲנִי גִּלִּיתִי
זאת כשטווס התייצב בדרך לשטן לנו,placeholder,זֹאת כְּשֶׁטַּוָּס הִתְיַצֵּב בַּדֶּרֶךְ לְשָׂטָן לָנוּ
בגן-החיות התנכי את שמעו של הגן שאבא ואני,placeholder,בְּגַן-הַחַיּוֹת הַתָּנָכִי אֶת שִׁמְעוֹ שֶׁל הַגַּן שֶׁאַבָּא וַאֲנִי
כבר הספקנו לבקר בו בשבת ההיא כשפתח את,placeholder,כְּבָר הִסְפַּקְנוּ לְבַקֵּר בּוֹ בַּשַּׁבָּת הַהִיא כְּשֶׁפָּתַח אֶת
שעריו לראשונה לפני הקהל הרחב שמעה סבתא מפיו,placeholder,שְׁעָרָיו לָרִאשׁוֹנָה לִפְנֵי הַקָּהָל הָרָחָב שָׁמְעָה סָבְתָא מִפִּיו
של שכננו רב יצחק בק האמן שצייר לפי תומו,placeholder,שֶׁל שְׁכֵנֵנוּ רֶבּ יִצְחָק בָּק הָאָמָּן שֶׁצִּיֵּר לְפִי תֻּמֹּו
קישוטי סוכה ומזרחים ממש כמו חיים שיבחה,placeholder,קִשּׁוּטֵי סֻכָּה וּמִזְרָחִים מַמָּשׁ כְּמוֹ חַיִּים שִׁבְּחָה
באוזניו את ארבע החיות שצייר על תקרת היכל,placeholder,בְּאָזְנָיו אֶת אַרְבַּע הַחַיּוֹת שֶׁצִּיֵּר עַל תִּקְרַת הֵיכַל
הישיבה הגדולה במאה-שערים כדי להמחיש,placeholder,הַיְּשִׁיבָה הַגְּדוֹלָה בְּמֵאָה-שְׁעָרִים כְּדֵי לְהַמְחִישׁ
ללומדים את הציווי הוי עז כנמר וקל כנשר רץ,placeholder,לַלּוֹמְדִים אֶת הַצִּוּוּי הֱוֵי עֵז כַּנָּמֵר וְקַל כַּנֶּשֶׁר רָץ
כצבי וגיבור כארי לעשות רצון אביך שבשמים,placeholder,כַּצְּבִי וְגִבּוֹר כָּאֲרִי לַעֲשׂוֹת רְצוֹן אָבִיךָ שֶׁבַּשָּׁמַיִם
ואמרה כי בעיניה הוא אמן חכם-לב ממש בצלאל בן,placeholder,וְאָמְרָה כִּי בְּעֵינֶיהָ הוּא אָמָּן חֲכַם-לֵב מַמָּשׁ בְּצַלְאֵל בֵּן
אורי של ימינו אבל גדולים מעשי אלוקינו הצטנע,placeholder,אוּרִי שֶׁל יָמֵינוּ אֲבָל גְּדוֹלִים מַעֲשֵׂי אֱלֹקֵינוּ הִצְטַנֵּעַ
בק ירא-השמים ומחליק את זקנו המחודד ומעביר,placeholder,בָּק יְרֵא-הַשָּׁמַיִם וּמַחֲלִיק אֶת זָקְנוֹ הַמְּחֻדָּד וּמַעֲבִיר
אצבעותיו בשערו המאפיר אמר לה כי במקום,placeholder,אֶצְבְּעוֹתָיו בִּשְׂעָרוֹ הַמַּאֲפִיר אָמַר לָהּ כִּי בִּמְקוֹם
שתתפעל מחיקוייו העלובים של בשר ודם מוטב,placeholder,שֶׁתִּתְפַּעֵל מֵחִקּוּיָיו הָעֲלוּבִים שֶׁל בָּשָׂר וָדָם מוּטָב
שתלך לגן-החיות ותראה במו עיניה את מעשי ידיו,placeholder,שֶׁתֵּלֵךְ לְגַן-הַחַיּוֹת וְתִרְאֶה בְּמוֹ עֵינֶיהָ אֶת מַעֲשֵׂי יָדָיו
של הכביכול כי מי בשחק יערוך לה ידמה לה,placeholder,שֶׁל הַכִּבְיָכוֹל כִּי מִי בַּשַּׁחַק יַעֲרֹךְ לַה יִדְמֶה לַה
בבני אלים מאז היתה סבתא מבקרת בקביעות,placeholder,בִּבְנֵי אֵלִים מֵאָז הָיְתָה סָבְתָא מְבַקֶּרֶת בִּקְבִיעוּת
בגן-החיות הירושלמי הקטן שקבע את משכנו,placeholder,בַּגַּן-הַחַיּוֹת הַיְּרוּשַׁלְמִי הַקָּטָן שֶׁקָּבַע אֶת מִשְׁכָּנוֹ
בעורפה הצפוני של העיר כשהוגלה מהר הצופים,placeholder,בְּעָרְפָּהּ הַצְּפוֹנִי שֶׁל הָעִיר כְּשֶׁהוּגְלָה מַהֵר הַצּוֹפִים
לאחר מלחמת השחרור מפעם לפעם בסתם בוקר של,placeholder,לְאַחַר מִלְחֶמֶת הַשִּׁחְרוּר מִפַּעַם לְפַעַם בִּסְתַם בֹּקֶר שֶׁל
יום חול היתה באה אלינו ולוקחת אותי לשם מלווה,placeholder,יוֹם חֹל הָיְתָה בָּאָה אֵלֵינוּ וְלוֹקַחַת אוֹתִי לְשָׁם מְלֻוֶּה
בברכתה המפורשת של אמא שסבורה היתה כי שום,placeholder,בְּבִרְכָתָהּ הַמְּפֹרֶשֶׁת שֶׁל אִמָּא שֶׁסְּבוּרָה הָיְתָה כִּי שׁוּם
רע לא יאונה לבנה אם בתעודת סוף השנה של כיתה ג,placeholder,רַע לֹא יְאֻנֶּה לִבְנָהּ אִם בִּתְעוּדַת סוֹף הַשָּׁנָה שֶׁל כִּתָּה ג
יירשמו לו חיסורים אחדים הגן שמקימיו ביקשו,placeholder,יֵרָשְׁמוּ לוֹ חִסּוּרִים אֲחָדִים הַגַּן שֶׁמְּקִימָיו בִּקְּשׁוּ
לאסוף אל תוכו את כל בעלי-החיים הנזכרים או,placeholder,לֶאֱסֹף אֶל תּוֹכֹו אֶת כָּל בַּעֲלֵי-הַחַיִּים הַנִּזְכָּרִים אוֹ
הנרמזים בתנך מן הנחש הערום מכל חיית,placeholder,הַנִּרְמָזִים בַּתָּנָךְ מִן הַנָּחָשׁ הָעָרוּם מִכָּל חַיַּת
השדה והתנין הגדול הרובץ בתוך יאוריו ועד,placeholder,הַשָּׂדֶה וְהַתַּנִּין הַגָּדוֹל הָרוֹבֵץ בְּתוֹךְ יְאוֹרָיו וַעַד
הדוכיפת אותו תרנגול-בר אגדי שיצא בשליחותו,placeholder,הַדּוּכִיפַת אוֹתוֹ תַּרְנְגוֹל-בַּר אַגָּדִי שֶׁיָּצָא בִּשְׁלִיחוּתֹו
של שלמה אל מלכת שבא נושא בפיו את איגרת,placeholder,שֶׁל שְׁלֹמֹה אֶל מַלְכַּת שְׁבָא נוֹשֵׂא בְּפִיו אֶת אִגֶּרֶת
האיומים שלו עורר את דמיונה של סבתא היא נפלה,placeholder,הָאִיּוּמִים שֶׁלּוֹ עוֹרֵר אֶת דִּמְיוֹנָהּ שֶׁל סָבְתָא הִיא נָפְלָה
בלי שחשה בכך בקסם הסהרורי של החלום,placeholder,בְּלִי שֶׁחָשָׁה בְּכָךְ בַּקֶּסֶם הַסַּהֲרוּרִי שֶׁל הַחֲלוֹם
הציוני שביקש לשוב ולחבר את הריאליה של,placeholder,הַצִּיּוֹנִי שֶׁבִּקֵּשׁ לָשׁוּב וּלְחַבֵּר אֶת הָרֵאַלְיָה שֶׁל
החי והצומח המקראי שבמשך דורות התייבשה,placeholder,הַחַי וְהַצּוֹמֵחַ הַמִּקְרָאִי שֶׁבְּמֶשֶׁךְ דּוֹרוֹת הִתְיַבְּשָׁה
לה כמו רקפת או נשל של נחש בין דפיו של,placeholder,לָהּ כְּמוֹ רַקֶּפֶת אוֹ נֶשֶׁל שֶׁל נָחָשׁ בֵּין דַּפָּיו שֶׁל
ספר-הספרים אל נופיה הקונקרטיים הפראיים,placeholder,סֵפֶר-הַסְּפָרִים אֶל נוֹפֶיהָ הַקּוֹנְקְרֵטִיִּים הַפִּרְאִיִּים
למחצה של הארץ הנפקחת אל העולם סבתא אהבה,placeholder,לְמֶחֱצָה שֶׁל הָאָרֶץ הַנִּפְקַחַת אֶל הָעוֹלָם סָבְתָא אַהֲבָה
לשוטט איתי שם בין הכלובים שהוקמו בחורשת,placeholder,לְשׁוֹטֵט אִתִּי שָׁם בְּיֵן הַכְּלוּבִים שֶׁהוּקְמוּ בְּחֻרְשַׁת
האורנים הקטנה הגולשת אל הוואדי הערירי,placeholder,הָאֳרָנִים הַקְּטַנָּה הַגּוֹלֶשֶׁת אֶל הַוָּאדִי הָעֲרִירִי
שערוצו סימן את קו הגבול עם ירדן בתערובת,placeholder,שֶׁעֲרוּצֹו סִמֵּן אֶת קַו הַגְּבוּל עִם יַרְדֵּן בְּתַעֲרֹבֶת
משתנה של פחד והשתאות התבוננה בדובים,placeholder,מִשְׁתַּנָּה שֶׁל פַּחַד וְהִשְׁתָּאוּת הִתְבּוֹנְנָה בַּדֻּבִּים
הסוריים העורכים קרב של נשיכות ומנסים לסרס זה,placeholder,הַסּוּרִיִּים הָעוֹרְכִים קְרָב שֶׁל נְשִׁיכוֹת וּמְנַסִּים לְסָרֵס זֶה
את זה ואחר-כך קראה בהטעמה את דברי החכם מכל,placeholder,אֶת זֶה וְאַחַר-כָּךְ קָרְאָה בְּהַטְעָמָה אֶת דִּבְרֵי הֶחָכָם מִכָּל
אדם שהיה יודע מה חמור נוהק ומה ציפור מצייץ,placeholder,אָדָם שֶׁהָיָה יוֹדֵעַ מָה חֲמוֹר נוֹהֵק וּמָה צִפּוֹר מְצַיֵּץ
פגוש דב שכול באיש ואל כסיל באיוולתו,placeholder,פָּגוֹשׁ דֹּב שַׁכּוּל בְּאִישׁ וְאַל כְּסִיל בְּאִוַּלְתֹּו
שנרשמו לצד שמה המדעי של החיה חיפשה את,placeholder,שֶׁנִּרְשְׁמוּ לְצַד שְׁמָהּ הַמַּדָּעִי שֶׁל הַחַיָּה חִפְּשָׂה אֶת
השפנים המסתתרים בנקיקים המלאכותיים,placeholder,הַשְּׁפַנִּים הַמִּסְתַּתְּרִים בַּנְּקִיקִים הַמְּלָאכוּתִיִּים
וקראה שם שפנים עם לא עצום וישימו בסלע ביתם,placeholder,וְקָרְאָה שָׁם שְׁפַנִּים עַם לֹא עָצוּם וַיָּשִׂימוּ בַסֶּלַע בֵּיתָם
או התעכבה ליד מכלאת היענים מאריכה מבט,placeholder,אוֹ הִתְעַכְּבָה לְיַד מִכְלְאַת הַיְּעֵנִים מַאֲרִיכָה מַבָּט
בביציהן הגדולות המוטלות באדמה ולאחר,placeholder,בְּבֵיצֵיהֶן הַגְּדוֹלוֹת הַמֻּטָּלוֹת בָּאֲדָמָה וּלְאַחַר
שדיקלמה בפתוס את דברי אלוהים העונה לאיוב מן,placeholder,שֶׁדִּקְלְמָה בְּפָּתוֹס אֶת דִּבְרֵי אֱלֹהִים הָעוֹנֶה לְאִיּוֹב מִן
הסערה כנף רננים נעלסה כי תעזוב לארץ ביציה,placeholder,הַסְּעָרָה כְּנַף רְנָנִים נֶעֱלָסָה כִּי תַּעֲזֹב לָאָרֶץ בֵּיצֶיהָ
ועל עפר תחמם אמרה כי אביה ראש סופרי קונסול,placeholder,וְעַל עָפָר תְּחַמֵּם אָמְרָה כִּי אָבִיהָ רֹאשׁ סוֹפְרֵי קוֹנְסוּל
אוסטרייך-אונגרן בירושלים השתלם בווינה,placeholder,אוֹסְטְרַיְךְ-אוּנְגְּרֶן בִּירוּשָׁלַיִם הִשְׁתַּלֵּם בְּוִינָה
בכתיבה אמנותית זעירה על גבי ביציהן של,placeholder,בִּכְתִיבָה אָמָּנוּתִית זְעִירָה עַל גַּבֵּי בֵּיצֵיהֶן שֶׁל
בנות-יענה בדרכנו הביתה היתה סבתא מסבה,placeholder,בְּנוֹת-יַעֲנָה בְּדַרְכֵּנוּ הַבַּיְתָה הָיְתָה סָבְתָא מְסִבָּה
מבטה ממגדלה המאיים של כנסיית,placeholder,מַבָּטָהּ מִמִּגְדָּלָהּ הַמְּאַיֵּם שֶׁל כְּנֵסִיַּת
בית-היתומים שנלר מתעלמת משה-האלוהים,placeholder,בֵּית-הַיְּתוֹמִים שְׁנֵלֶר מִתְעַלֶּמֶת מִשֵּׂה-הָאֱלֹהִים
הגרמני הדורך שם ברגל גאווה על במתי ארץ ונס,placeholder,הַגֶּרְמָנִי הַדּוֹרֵךְ שָׁם בְּרֶגֶל גַּאֲוָה עַל בָּמֳתֵי אָרֶץ וְנֵס
צלבני אחוז בזנבו והיתה אומרת כי אנחנו,placeholder,צַלְבָנִי אָחוּז בִּזְנָבוֹ וְהָיְתָה אוֹמֶרֶת כִּי אֲנַחְנוּ
היהודים צריכים להיות גאים באבותינו שנתנו,placeholder,הַיְּהוּדִים צְרִיכִים לִהְיוֹת גֵּאִים בַּאֲבוֹתֵינוּ שֶׁנָּתְנוּ
לעולם את התנך - ספר שהכל כתוב בו ושום דבר אינו,placeholder,לָעוֹלָם אֶת הַתָּנָךְ - סֵפֶר שֶׁהַכֹּל כָּתוּב בּוֹ וְשׁוּם דָּבָר אֵינוֹ
נפלא ממנו לא בשמים מעל ולא על הארץ מתחת,placeholder,נִפְלָא מִמֶּנּוּ לֹא בַּשָּׁמַיִם מֵעַל וְלֹא עַל הָאָרֶץ מִתַּחַת
היתה בגן רק חיה אחת שסבתא התחמקה באמתלות,placeholder,הָיְתָה בַּגַּן רַק חַיָּה אַחַת שֶׁסָּבְתָא הִתְחַמְּקָה בַּאֲמַתְלוֹת
שונות ולא משכנעות מלהיפגש עמה פנים אל פנים,placeholder,שׁוֹנוֹת וְלֹא מְשַׁכְנְעוֹת מִלְּהִפָּגֵשׁ עִמָּהּ פָּנִים אֶל פָּנִים
- הטווס העוף הזה ממשפחת הפסיונים אמנם אינו,placeholder,- הַטַּוָּס הָעוֹף הַזֶּה מִמִּשְׁפַּחַת הַפַּסְיוֹנִים אָמְנָם אֵינוֹ
נזכר בשמו במקרא אבל מקימי גן-החיות התנכי,placeholder,נִזְכָּר בִּשְׁמֹו בַּמִּקְרָא אֲבָל מְקִימֵי גַּן-הַחַיּוֹת הַתָּנָכִי
הסתמכו ככל הנראה על תרגום יונתן ועל,placeholder,הִסְתַּמְּכוּ כְּכָל הַנִּרְאֶה עַל תַּרְגּוּם יוֹנָתָן וְעַל
הוולגטה שתירגמו את השם תוכיים העופות,placeholder,הַוּוּלְגָּטָה שֶׁתִּרְגְּמוּ אֶת הַשֵּׁם תֻּכִּיִּים הָעוֹפוֹת
שייבא שלמה באוניות מתרשיש יחד עם להקות,placeholder,שֶׁיִּבֵּא שְׁלֹמֹה בָּאֳנִיּוֹת מִתַּרְשִׁישׁ יַחַד עִם לְהָקוֹת
של קופים כטווסים ופרשו עליהם את חסותם,placeholder,שֶׁל קוֹפִים כְּטַוָּסִים וּפָרְשׁוּ עֲלֵיהֶם אֶת חָסוּתָם
הטווסים הבוגרים שהתהלכו חופשים בתחומי,placeholder,הַטַּוָּסִים הַבּוֹגְרִים שֶׁהִתְהַלְּכוּ חֳפָשִׁים בִּתְחוּמֵי
הגן אמנם העדיפו להתבודד במקומות מרוחקים,placeholder,הַגַּן אָמְנָם הֶעְדִּיפוּ לְהִתְבּוֹדֵד בִּמְקוֹמוֹת מְרֻחָקִים
שקהל המבקרים לא הגיע אליהם אבל לפעמים,placeholder,שֶׁקְּהַל הַמְּבַקְּרִים לֹא הִגִּיעַ אֲלֵיהֶם אֲבָל לִפְעָמִים
בייחוד בשעות הבוקר היו יוצאים מן המסתור,placeholder,בְּיִחוּד בִּשְׁעוֹת הַבֹּקֶר הָיוּ יוֹצְאִים מִן הַמִּסְתּוֹר
ומטיילים בשבילים בוקר אחד - בדיעבד יתברר,placeholder,וּמְטַיְּלִים בַּשְּׁבִילִים בֹּקֶר אֶחָד - בְּדִיעֲבַד יִתְבָּרֵר
כי היה זה ביקורנו המשותף האחרון בגן-החיות -,placeholder,כִּי הָיָה זֶה בִּקּוּרֵנוּ הַמְּשֻׁתָּף הָאַחֲרוֹן בְּגַן-הַחַיּוֹת -
הגיח לקראתנו פתאום טווס זכר סבתא ניסתה למהר,placeholder,הֵגִיחַ לִקְרָאתֵנוּ פִּתְאוֹם טַוַּס זָכָר סָבְתָא נִסְּתָה לְמַהֵר
ולפנות לשביל אחר אבל אני נשארתי נטוע במקומי,placeholder,וְלִפְנוֹת לִשְׁבִיל אַחֵר אֲבָל אֲנִי נִשְׁאַרְתִּי נָטוּעַ בִּמְקוֹמִי
והתבוננתי מוקסם בעוף שזנבו הארוך,placeholder,וְהִתְבּוֹנַנְתִּי מֻקְסָם בָּעוֹף שֶׁזְּנָבוֹ הָאָרֹךְ
המלכותי נגרר אחריו בכבדות באדמה הבוצית,placeholder,הַמַּלְכוּתִי נִגְרַר אַחֲרָיו בִּכְבֵדוּת בָּאֲדָמָה הַבֻּצִּית
הטווס נתן בנו את עיניו הקטנות ואחר-כך כמו,placeholder,הַטַּוָּס נָתַן בָּנוּ אֶת עֵינָיו הַקְּטַנּוֹת וְאַחַר-כָּךְ כְּמוֹ
על-פי צו פנימי הרים בתנועה מדהימה את זנבו ופרס,placeholder,עַל-פִּי צַו פְּנִימִי הֵרִים בִּתְנוּעָה מַדְהִימָה אֶת זְנָבוֹ וּפָרַס
אותו כמניפה כשאין-ספור עיניים זוהרות כחולות,placeholder,אוֹתוֹ כִּמְנִיפָה כְּשֶׁאֵין-סְפֹר עֵינַיִם זוֹהֲרוֹת כְּחֻלּוֹת
