submission,placeholder,expected_results
סבתא פחדה מן המוות,placeholder,﻿סָבְתָא פָּחֲדָה מִן הַמָּוֶת
היא אמנם לא הודתה בכך -,placeholder,הִיא אָמְנָם לֹא הוֹדְתָה בְּכָךְ -
ואף היתה אומרת בצניעות,placeholder,וְאַף הָיְתָה אוֹמֶרֶת בִּצְנִיעוּת
שיש עמה יותר,placeholder,שֶׁיֵּשׁ עִמָּהּ יוֹתֵר
מקורטוב של התנשאות,placeholder,מִקֻּרְטוֹב שֶׁל הִתְנַשְּׂאוּת
כי היא מפחדת רק מפני,placeholder,כִּי הִיא מְפַחֶדֶת רַק מִפְּנֵי
משפט האלוהים,placeholder,מִשְׁפַּט הָאֱלֹהִים
כשתעמוד לפניו בבוא,placeholder,כְּשֶׁתַּעֲמֹד לְפָנָיו בְּבוֹא
יום-הדין - אבל אני,placeholder,יוֹם-הַדִּין - אֲבָל אֲנִי
גיליתי זאת כשטווס,placeholder,גִּלִּיתִי זֹאת כְּשֶׁטַּוָּס
התייצב בדרך לשטן,placeholder,הִתְיַצֵּב בַּדֶּרֶךְ לְשָׂטָן
לנו בגן-החיות התנכי,placeholder,לָנוּ בְּגַן-הַחַיּוֹת הַתָּנָכִי
את שמעו של הגן שאבא,placeholder,אֶת שִׁמְעוֹ שֶׁל הַגַּן שֶׁאַבָּא
ואני כבר הספקנו לבקר,placeholder,וַאֲנִי כְּבָר הִסְפַּקְנוּ לְבַקֵּר
בו בשבת ההיא כשפתח,placeholder,בּוֹ בַּשַּׁבָּת הַהִיא כְּשֶׁפָּתַח
את שעריו לראשונה לפני,placeholder,אֶת שְׁעָרָיו לָרִאשׁוֹנָה לִפְנֵי
הקהל הרחב שמעה סבתא,placeholder,הַקָּהָל הָרָחָב שָׁמְעָה סָבְתָא
מפיו של שכננו רב יצחק,placeholder,מִפִּיו שֶׁל שְׁכֵנֵנוּ רֶבּ יִצְחָק
